sample_id,comparison,num_foci,delta_dice,delta_component_recall,delta_merge_count,ssq_dice,ablation_dice,ssq_merge_count,ablation_merge_count
sample_1327,w/o transport-aware footprint,3,-0.10901295526567012,0.0,0.0,0.7313140987271115,0.8403270539927816,0.0,0.0
sample_1328,w/o transport-aware footprint,1,0.13449606797319003,0.0,0.0,0.8153257978724939,0.6808297298993039,0.0,0.0
sample_1366,w/o transport-aware footprint,2,0.1755221842744138,0.0,0.0,0.5617960986385264,0.3862739143641126,0.0,0.0
sample_1372,w/o transport-aware footprint,2,0.15679325027208224,0.0,0.0,0.7682354433594213,0.611442193087339,0.0,0.0
sample_1378,w/o transport-aware footprint,3,-0.04648656094294412,0.33333333333333337,-1.0,0.6593505589453097,0.7058371198882538,0.0,1.0
sample_1384,w/o transport-aware footprint,2,-0.059330256726801256,0.0,0.0,0.4886255018163408,0.547955758543142,1.0,1.0
sample_1389,w/o transport-aware footprint,2,0.07455388442616173,0.5,-1.0,0.8416785484637979,0.7671246640376361,0.0,1.0
sample_1404,w/o transport-aware footprint,3,0.0054791699822078765,0.0,0.0,0.7724398670230844,0.7669606970408765,0.0,0.0
sample_1429,w/o transport-aware footprint,2,-0.016390215688872556,0.0,0.0,0.7659676109493307,0.7823578266382033,0.0,0.0
sample_1432,w/o transport-aware footprint,2,0.022618547281845314,0.0,0.0,0.8770909090910368,0.8544723618091915,0.0,0.0
sample_1438,w/o transport-aware footprint,1,0.10009721089244261,0.0,0.0,0.6795752654600887,0.5794780545676461,0.0,0.0
sample_1455,w/o transport-aware footprint,2,0.0016313499269465792,0.0,0.0,0.7426735021808315,0.7410421522538849,1.0,1.0
sample_1470,w/o transport-aware footprint,3,-0.11066937145421851,0.0,-1.0,0.7205480764624825,0.831217447916701,0.0,1.0
sample_1482,w/o transport-aware footprint,3,0.041170994563449526,0.33333333333333337,-1.0,0.7244854100006092,0.6833144154371597,0.0,1.0
sample_1486,w/o transport-aware footprint,2,0.048085722450097235,0.0,0.0,0.914133983996586,0.8660482615464887,0.0,0.0
sample_1513,w/o transport-aware footprint,3,0.0006595137767997361,0.0,0.0,0.6401307130215403,0.6394711992447406,1.0,1.0
sample_1516,w/o transport-aware footprint,3,-0.14260732759446537,0.0,0.0,0.7029716528964701,0.8455789804909355,0.0,0.0
sample_1529,w/o transport-aware footprint,2,0.1000438466658059,0.0,0.0,0.7897314642797535,0.6896876176139476,1.0,1.0
sample_1566,w/o transport-aware footprint,3,0.062212032660181826,0.0,0.0,0.4247787610623157,0.3625667284021339,1.0,1.0
sample_1572,w/o transport-aware footprint,2,-0.1455824379279842,0.0,0.0,0.7028679752952346,0.8484504132232188,0.0,0.0
sample_1599,w/o transport-aware footprint,3,0.011438038110117899,0.0,0.0,0.6071906001550643,0.5957525620449464,0.0,0.0
sample_1620,w/o transport-aware footprint,2,0.18528598106207012,0.5,-1.0,0.6164908351508125,0.4312048540887424,0.0,1.0
sample_1634,w/o transport-aware footprint,1,0.190766164287964,0.0,0.0,0.7073430982639369,0.5165769339759729,0.0,0.0
sample_1635,w/o transport-aware footprint,3,-0.021686089534396102,0.0,0.0,0.7224104549855632,0.7440965445199593,1.0,1.0
sample_1642,w/o transport-aware footprint,2,0.04198384824267576,0.0,0.0,0.839706190975933,0.7977223427332573,0.0,0.0
sample_1643,w/o transport-aware footprint,3,0.04998592311312,0.0,0.0,0.813613368082228,0.763627444969108,0.0,0.0
