sample_id,num_foci,depth_tier,source_type,shape_set,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method
sample_1276,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.8350128896179986,,SSQ-FMT
sample_1285,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4697614495444413,,SSQ-FMT
sample_1286,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.5528572162037275,,SSQ-FMT
sample_1288,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.4777719390436153,,SSQ-FMT
sample_1292,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.6370765623736762,,SSQ-FMT
sample_1319,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.5056726094003241,,SSQ-FMT
sample_1327,3,shallow,uniform,ellipsoid+irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4750147013087899,,SSQ-FMT
sample_1328,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.6882278658622141,,SSQ-FMT
sample_1366,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.3902475179193655,,SSQ-FMT
sample_1372,2,shallow,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.4258341731049154,,SSQ-FMT
sample_1378,3,shallow,uniform,ellipsoid+irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.3956972846315955,,SSQ-FMT
sample_1384,2,shallow,uniform,irregular+sphere,2,1,1,1,0,1,0,0.5,1.0,0.2672703096308491,,SSQ-FMT
sample_1389,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.7245343473184076,,SSQ-FMT
sample_1404,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.644698474618355,,SSQ-FMT
sample_1429,2,shallow,uniform,irregular,2,2,2,0,0,0,0,1.0,1.0,0.592017931907385,,SSQ-FMT
sample_1432,2,medium,uniform,sphere,2,1,1,1,0,0,0,0.5,1.0,0.8699505358615004,,SSQ-FMT
sample_1438,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.5146641438032167,,SSQ-FMT
sample_1455,2,shallow,uniform,ellipsoid,2,1,1,1,0,1,0,0.5,1.0,0.5265743073047859,,SSQ-FMT
sample_1470,3,medium,uniform,ellipsoid+irregular,2,2,1,1,1,0,1,0.5,0.5,0.3328552075862618,,SSQ-FMT
sample_1482,3,medium,uniform,irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.5165842813200381,,SSQ-FMT
sample_1486,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.8214142177893247,,SSQ-FMT
sample_1513,3,shallow,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.4025216211049257,,SSQ-FMT
sample_1516,3,deep,uniform,ellipsoid+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.5910882345992621,,SSQ-FMT
sample_1529,2,medium,uniform,ellipsoid,2,1,1,1,0,1,0,0.5,1.0,0.5112247797669792,,SSQ-FMT
sample_1566,3,medium,uniform,irregular+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.4060552480632172,,SSQ-FMT
sample_1572,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4615143830594458,,SSQ-FMT
sample_1599,3,medium,uniform,irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.3227082271091411,,SSQ-FMT
