sample_id,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,minimum_source_volume,shape_set,source_type,metadata_missing
sample_2909,2,10.592450141492291,0.535926810894824,11636.0,,uniform,False
sample_2932,2,18.85099466871709,0.5091572528659022,5040.0,,uniform,False
sample_2934,1,,1.0,13420.0,,uniform,False
sample_2936,1,,1.0,2168.0,,uniform,False
sample_2945,3,6.1546730213716465,0.8045936253157889,960.0,,uniform,False
sample_2948,2,16.830923919975397,0.65862136935213,4416.0,,uniform,False
sample_2951,1,,1.0,4107.0,,uniform,False
sample_2956,2,17.590906741836815,0.8606003253399439,1104.0,,uniform,False
sample_2961,2,6.6992536897776915,0.9313310731596424,3574.0,,uniform,False
sample_2977,1,,1.0,8780.0,,uniform,False
sample_2987,3,4.935585071701225,0.5179209750973441,720.0,,uniform,False
sample_2993,3,5.9497899122574065,0.747183922268748,2828.0,,uniform,False
