sample_id,num_foci,depth_tier,source_type,shape_set,shape_class,has_sphere,has_ellipsoid,has_irregular,dice,iou,precision,recall,nrmse,psnr,ssim,cle,ple,cnr,flops_g,volume_error,assd,hd95,inference_time_ms,peak_gpu_memory_mb,pred_positive_count,gt_positive_count,method
sample_0122,3,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.6915035762007029,0.5284718885154203,0.6214154541604595,0.7794117647060778,0.042914755642414,27.34786762812085,0.9901428516487129,1.0507969857122696,4.147288270665545,2.0463128015746177,,0.2542523033309709,0.3623986246518108,1.0,3404.963162000058,3735.1015625,14158,11288,SSQ-FMT
sample_0128,3,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.8573063352300272,0.7502503616336095,0.9065546218488024,0.813133140376379,0.0251017771661281,32.0059105129678,0.9921855101549288,0.7377429813849455,7.597367965289032,2.4594613109580648,,0.1030511336227689,0.1528694177852157,0.447213595499958,3345.582050998928,3734.6015625,14875,16584,SSQ-FMT
sample_0130,2,shallow,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.9066380133715934,0.8292203537892233,0.9578708375378936,0.8606074342703302,0.015619670972228,36.126562931220654,0.9971387220787332,0.2306901289308655,0.916515138991168,2.7275908546732786,,0.1015412511332728,0.2299110215140017,2.1633307652783937,3391.742861997045,3734.9765625,7928,8824,SSQ-FMT
sample_0158,1,medium,uniform,irregular,irregular,0,0,1,0.8821954484606214,0.7892215568865881,0.8308717579253767,0.9402772115777818,0.0157589204609394,36.04947019089825,0.9979558176330944,0.3019774778082355,1.077032961426901,4.587376224809406,,0.1316754993885038,0.1258556277551458,0.447213595499958,3344.202309999673,3735.3515625,5552,4906,SSQ-FMT
sample_0163,3,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.7785094992183738,0.637343883329736,0.6849520633599959,0.9016681299386504,0.0284593719989061,30.91549387118605,0.9918123150430668,1.797698318085736,16.71645895517349,3.359187490923057,,0.3163959613696225,0.2263265088438527,0.5656854249492381,3291.617976996349,3734.1640625,11995,9112,SSQ-FMT
sample_0180,1,medium,uniform,sphere,sphere,1,0,0,0.6212534059948729,0.4505928853761727,0.4505928853761727,1.0,0.0313609726727008,30.07220923042944,0.9946765249293762,0.1561523455298244,0.8717797887081349,31.81352683350999,,1.219298245614035,0.4890175623051918,0.8246211251235323,3426.7706419996102,3735.1015625,8096,3648,SSQ-FMT
sample_0187,3,medium,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.8387824126268608,0.7223300970874642,0.9793973839274608,0.7334752128193123,0.0429681912064552,27.33705817333967,0.9877123450918291,2.371742275694124,12.734205903785286,1.9158130602217531,,0.2510953930896344,0.2547437035685421,0.916515138991168,3278.741349000484,3734.6015625,23929,31952,SSQ-FMT
sample_0189,3,shallow,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.8265684715597327,0.7044028147586039,0.7918225547836495,0.8645037054327686,0.0332432724535465,29.565924452239297,0.9884805987052352,1.064289230167211,12.497999839974396,2.993344576216157,,0.0917896948123942,0.279995582442393,0.7211102550927979,3309.4507599962526,3734.9765625,18710,17137,SSQ-FMT
sample_0192,3,medium,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.6262897730001313,0.4559111235330799,0.4705415735202491,0.9361549497848836,0.0353532955050468,29.031402130501416,0.9889337302614905,0.3178268314630271,8.67179335547152,3.837937451951753,,0.9895265423242467,0.3884855778372486,0.8485281374238571,3372.3849410016555,3735.3515625,13867,6970,SSQ-FMT
sample_0207,2,medium,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.7960532498042926,0.6612030388179513,0.9086813501144818,0.7082659829442571,0.0369192101061344,28.654952128476644,0.9914291004024564,0.1944499147565746,7.851114570556209,1.685216193666933,,0.2205562677665682,0.4328376385813526,0.7211102550927979,3375.45151100494,3734.1640625,13984,17941,SSQ-FMT
sample_0234,3,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.6218870296175576,0.4512598335426683,0.4677934050351803,0.9273664479850896,0.0420296899974346,27.52887623396077,0.9888024241834324,1.486429443288534,1.8110770276274837,3.710997981848087,,0.982427366447985,0.5866456180052849,1.897366596101028,3309.7704280007747,3735.1015625,16922,8536,SSQ-FMT
